date,country,platform,customer_type,payment_method,sessions,conversions,payment_failures
2026-09-11,UK,Android,New,Wallet,280,33,5
2026-09-10,UK,Android,Returning,UPI,153,18,3
2026-09-10,US,Web,Returning,Wallet,290,34,5
2026-09-13,US,Android,Returning,UPI,190,22,3
2026-09-01,UK,iOS,New,UPI,251,30,5
2026-09-19,UK,iOS,Returning,UPI,222,26,4
2026-09-07,Singapore,Android,New,Wallet,71,8,1
2026-09-10,UK,Web,New,Wallet,129,15,2
2026-09-08,US,Web,New,Card,112,13,2
2026-09-16,India,iOS,Returning,Wallet,197,23,3
2026-09-07,Singapore,iOS,Returning,Card,87,10,1
2026-09-21,India,Web,Returning,Card,95,11,1
2026-09-17,Singapore,Web,New,Card,166,19,3
2026-09-05,Singapore,Android,Returning,UPI,206,24,4
2026-09-17,Singapore,Android,Returning,Card,240,28,4
2026-09-16,Singapore,iOS,New,Wallet,120,14,2
2026-09-17,Singapore,Android,New,UPI,162,8,12
2026-09-03,UK,Web,Returning,UPI,131,15,2
2026-09-18,India,Web,New,Card,148,17,2
2026-09-05,US,Web,Returning,UPI,134,16,2
2026-09-18,Singapore,iOS,New,Card,263,31,5
2026-09-14,Singapore,Android,New,Wallet,147,17,2
2026-09-16,India,iOS,Returning,UPI,268,32,5
2026-09-14,US,iOS,New,UPI,161,19,3
2026-09-16,India,iOS,Returning,Wallet,223,26,4
2026-09-13,US,iOS,New,Wallet,186,22,3
2026-09-01,Singapore,Android,New,Card,214,25,4
2026-09-14,US,iOS,New,Card,116,13,2
2026-09-13,UK,Web,Returning,UPI,136,16,2
2026-09-13,UK,iOS,Returning,Card,170,20,3
2026-09-01,India,iOS,New,Wallet,67,8,1
2026-09-21,India,Web,New,Card,264,31,5
2026-09-01,US,Web,New,UPI,221,26,4
2026-09-04,US,iOS,Returning,UPI,92,11,1
2026-09-20,India,Web,Returning,Card,198,23,3
2026-09-01,UK,Android,Returning,UPI,291,34,5
2026-09-07,India,Android,New,Card,228,27,4
2026-09-10,India,Android,New,UPI,186,22,3
2026-09-14,UK,Web,Returning,Card,267,32,5
2026-09-14,Singapore,Web,Returning,UPI,212,25,4
2026-09-15,US,iOS,New,Wallet,183,21,3
2026-09-21,UK,Android,Returning,UPI,161,19,3
2026-09-19,UK,iOS,New,Card,121,14,2
2026-09-15,US,iOS,Returning,UPI,57,6,1
2026-09-16,UK,Web,Returning,Card,140,16,2
2026-09-09,UK,iOS,Returning,Wallet,52,6,1
2026-09-17,US,Web,New,Wallet,154,18,3
2026-09-16,US,Android,Returning,Wallet,232,27,4
2026-09-16,Singapore,Web,New,UPI,106,12,2
2026-09-13,US,iOS,Returning,UPI,191,22,3
2026-09-17,UK,iOS,Returning,UPI,229,27,4
2026-09-15,UK,iOS,Returning,Card,80,9,1
2026-09-07,UK,Web,New,Card,105,12,2
2026-09-16,UK,Android,Returning,Card,263,31,5
2026-09-07,UK,Web,Returning,Card,127,15,2
2026-09-01,US,iOS,New,Card,191,22,3
2026-09-10,US,Android,Returning,Card,273,32,5
2026-09-01,UK,iOS,Returning,UPI,137,16,2
2026-09-06,India,iOS,Returning,Card,260,31,5
2026-09-03,Singapore,iOS,New,Wallet,211,25,4
2026-09-02,US,Web,Returning,Card,113,13,2
2026-09-04,Singapore,Android,New,Wallet,147,17,2
2026-09-15,Singapore,iOS,Returning,UPI,195,23,3
2026-09-20,India,Android,New,Card,210,25,4
2026-09-07,UK,Android,New,Card,111,13,2
2026-09-06,India,Web,New,UPI,165,19,3
2026-09-20,Singapore,iOS,New,Card,123,14,2
2026-09-10,Singapore,Web,New,UPI,251,30,5
2026-09-21,US,iOS,New,Wallet,107,12,2
2026-09-21,US,iOS,New,Card,65,7,1
2026-09-06,UK,Android,Returning,UPI,81,9,1
2026-09-15,UK,Android,Returning,UPI,178,21,3
2026-09-18,Singapore,iOS,New,Wallet,60,7,1
2026-09-14,UK,Android,Returning,Card,73,8,1
2026-09-08,India,Android,Returning,Wallet,60,7,1
2026-09-06,Singapore,Android,Returning,UPI,96,11,1
2026-09-19,Singapore,Android,Returning,Card,170,20,3
2026-09-12,Singapore,iOS,Returning,Wallet,76,9,1
2026-09-06,UK,iOS,Returning,UPI,219,26,4
2026-09-13,India,iOS,New,UPI,114,13,2
2026-09-11,India,iOS,New,Wallet,272,32,5
2026-09-18,Singapore,iOS,New,Card,182,21,3
2026-09-12,Singapore,Android,Returning,Card,102,12,2
2026-09-09,US,iOS,Returning,Wallet,174,20,3
2026-09-04,India,Android,New,Wallet,90,10,1
2026-09-10,India,Android,Returning,Card,107,12,2
2026-09-04,Singapore,Web,New,UPI,288,34,5
2026-09-10,UK,iOS,Returning,UPI,112,13,2
2026-09-15,US,iOS,New,Wallet,180,21,3
2026-09-05,India,iOS,Returning,UPI,289,34,5
2026-09-17,UK,Web,Returning,Wallet,126,15,2
2026-09-19,Singapore,Web,Returning,Wallet,173,20,3
2026-09-12,UK,Android,Returning,UPI,288,34,5
2026-09-11,US,Android,New,Wallet,148,17,2
2026-09-08,Singapore,Web,Returning,Wallet,171,20,3
2026-09-13,Singapore,Android,New,UPI,296,35,5
2026-09-02,US,Android,Returning,Card,273,32,5
2026-09-15,India,Android,Returning,Card,234,28,4
2026-09-05,Singapore,Android,New,Card,170,20,3
2026-09-09,UK,Android,Returning,Wallet,70,8,1
2026-09-11,Singapore,iOS,Returning,Wallet,59,7,1
2026-09-20,India,Web,Returning,Card,241,28,4
2026-09-03,Singapore,Web,New,UPI,92,11,1
2026-09-10,India,Web,Returning,Card,125,15,2
2026-09-12,UK,iOS,New,Card,185,22,3
2026-09-14,US,Web,New,Card,206,24,4
2026-09-13,US,iOS,New,Card,168,20,3
2026-09-21,UK,iOS,Returning,Wallet,52,6,1
2026-09-15,UK,Android,New,Card,163,19,3
2026-09-12,UK,Android,Returning,Wallet,114,13,2
2026-09-15,UK,Web,Returning,UPI,77,9,1
2026-09-08,Singapore,Android,Returning,Wallet,125,15,2
2026-09-10,India,Android,Returning,UPI,52,6,1
2026-09-19,India,Android,Returning,UPI,248,29,4
2026-09-08,UK,Web,New,Wallet,114,13,2
2026-09-05,India,Android,New,UPI,251,30,5
2026-09-15,India,Android,Returning,Wallet,83,9,1
2026-09-03,UK,iOS,Returning,Card,101,12,2
2026-09-05,UK,Android,Returning,Card,115,13,2
2026-09-16,UK,Android,Returning,Card,169,20,3
2026-09-03,US,Web,Returning,Wallet,143,17,2
2026-09-03,Singapore,Web,Returning,Wallet,81,9,1
2026-09-15,UK,Android,Returning,Wallet,147,17,2
2026-09-21,UK,Web,New,UPI,56,6,1
2026-09-20,UK,Android,New,Wallet,66,7,1
2026-09-21,Singapore,Android,Returning,Wallet,154,18,3
2026-09-04,US,Web,New,UPI,176,21,3
2026-09-04,India,Web,New,UPI,166,19,3
2026-09-12,Singapore,Android,New,UPI,217,26,4
2026-09-04,Singapore,Android,Returning,UPI,58,6,1
2026-09-12,US,iOS,Returning,Card,268,32,5
2026-09-12,India,Android,Returning,Wallet,280,33,5
2026-09-21,UK,Web,Returning,UPI,98,11,1
2026-09-04,Singapore,Web,New,Wallet,213,25,4
2026-09-20,India,Web,Returning,Card,82,9,1
2026-09-19,US,Web,New,Wallet,105,12,2
2026-09-08,UK,Web,New,UPI,269,32,5
2026-09-05,US,Android,Returning,Card,78,9,1
2026-09-01,US,Web,Returning,Card,200,24,4
2026-09-11,India,Web,Returning,Card,82,9,1
2026-09-14,India,Android,New,UPI,164,19,3
2026-09-12,India,iOS,New,Wallet,61,7,1
2026-09-17,UK,iOS,New,Card,172,20,3
2026-09-13,Singapore,Android,New,UPI,232,27,4
2026-09-15,India,Web,Returning,Wallet,87,10,1
2026-09-03,US,iOS,Returning,UPI,202,24,4
2026-09-17,UK,iOS,Returning,Card,253,30,5
2026-09-04,US,iOS,Returning,Card,155,18,3
2026-09-11,Singapore,iOS,Returning,Wallet,74,8,1
2026-09-11,Singapore,iOS,Returning,UPI,294,35,5
2026-09-05,Singapore,Web,New,Card,73,8,1
2026-09-14,India,Android,Returning,Card,192,23,3
2026-09-02,UK,Android,New,UPI,140,16,2
2026-09-14,India,iOS,Returning,UPI,76,9,1
2026-09-19,US,Web,Returning,Card,266,31,5
2026-09-04,UK,Android,Returning,Card,245,29,4
2026-09-09,US,iOS,New,Wallet,287,34,5
2026-09-09,India,Web,Returning,Wallet,245,29,4
2026-09-10,UK,iOS,New,Card,272,32,5
2026-09-05,Singapore,Web,New,Wallet,212,25,4
2026-09-01,India,Android,New,UPI,157,18,3
2026-09-15,UK,Web,Returning,UPI,234,28,4
2026-09-11,India,Web,New,Card,243,29,4
2026-09-20,India,Android,New,UPI,163,8,13
2026-09-14,Singapore,Android,Returning,UPI,119,14,2
2026-09-07,India,iOS,Returning,Card,122,14,2
2026-09-19,Singapore,Android,Returning,Card,106,12,2
2026-09-13,India,Web,New,UPI,292,35,5
2026-09-07,US,iOS,Returning,UPI,80,9,1
2026-09-01,Singapore,Android,Returning,Card,83,9,1
2026-09-13,US,Android,Returning,Card,151,18,3
2026-09-02,Singapore,Web,Returning,Card,270,32,5
2026-09-11,Singapore,Android,Returning,Wallet,213,25,4
2026-09-14,UK,Web,Returning,Card,297,35,5
2026-09-11,US,Android,Returning,Wallet,285,34,5
2026-09-12,India,iOS,New,Card,161,19,3
2026-09-19,Singapore,Android,New,UPI,272,13,21
2026-09-10,UK,Web,Returning,Card,69,8,1
2026-09-17,India,Android,New,UPI,139,6,11
2026-09-21,US,Web,New,Card,115,13,2
2026-09-07,US,Android,New,Wallet,69,8,1
2026-09-06,Singapore,iOS,Returning,Wallet,286,34,5
2026-09-19,UK,Android,Returning,Card,162,19,3
2026-09-03,Singapore,iOS,Returning,UPI,201,24,4
2026-09-02,UK,Android,New,UPI,168,20,3
2026-09-15,India,Web,Returning,UPI,69,8,1
2026-09-21,India,Android,Returning,UPI,198,23,3
2026-09-18,India,iOS,New,UPI,204,24,4
2026-09-16,US,Web,Returning,Card,257,30,5
2026-09-11,India,Android,New,Card,113,13,2
2026-09-15,Singapore,Android,New,UPI,145,7,11
2026-09-10,Singapore,iOS,Returning,Wallet,203,24,4
2026-09-02,UK,Web,Returning,Card,192,23,3
2026-09-13,UK,iOS,New,UPI,70,8,1
2026-09-19,US,iOS,Returning,Wallet,228,27,4
2026-09-13,US,Android,New,UPI,193,23,3
2026-09-13,UK,Web,New,Wallet,221,26,4
2026-09-14,UK,Web,Returning,UPI,96,11,1
2026-09-07,UK,iOS,New,Card,85,10,1
2026-09-05,India,iOS,New,Wallet,247,29,4
2026-09-18,India,Android,Returning,Wallet,83,9,1
2026-09-20,Singapore,Web,New,Card,262,31,5
2026-09-20,US,Android,Returning,Card,155,18,3
2026-09-12,US,iOS,Returning,Wallet,250,30,5
2026-09-15,US,Android,New,UPI,297,14,23
2026-09-16,US,iOS,Returning,UPI,246,29,4
2026-09-10,Singapore,Android,Returning,Card,259,31,5
2026-09-07,US,iOS,New,Wallet,173,20,3
2026-09-12,India,Android,New,UPI,71,8,1
2026-09-06,UK,iOS,New,UPI,73,8,1
2026-09-08,Singapore,iOS,New,UPI,63,7,1
2026-09-13,UK,Web,Returning,Card,145,17,2
2026-09-08,India,iOS,New,Wallet,216,25,4
2026-09-11,US,Web,New,UPI,284,34,5
2026-09-16,US,Android,Returning,UPI,207,24,4
2026-09-01,India,Web,Returning,Card,263,31,5
2026-09-05,Singapore,Web,Returning,Card,127,15,2
2026-09-04,India,Web,Returning,Wallet,253,30,5
2026-09-20,Singapore,Web,New,UPI,202,24,4
2026-09-18,India,Android,New,Wallet,86,10,1
2026-09-10,Singapore,Web,Returning,Card,196,23,3
2026-09-14,US,Android,New,Wallet,299,35,5
2026-09-12,India,Android,New,UPI,273,32,5
2026-09-16,India,Android,Returning,UPI,114,13,2
2026-09-01,UK,Web,Returning,Card,237,28,4
2026-09-21,India,Android,Returning,Card,61,7,1
2026-09-12,UK,Android,New,Wallet,168,20,3
2026-09-16,US,Web,New,Wallet,248,29,4
2026-09-15,India,iOS,New,Card,252,30,5
2026-09-07,India,iOS,Returning,Wallet,151,18,3
2026-09-18,Singapore,iOS,New,Wallet,98,11,1
2026-09-10,UK,Web,Returning,UPI,81,9,1
2026-09-12,Singapore,iOS,Returning,UPI,136,16,2
2026-09-06,Singapore,Android,Returning,UPI,286,34,5
2026-09-17,UK,Web,Returning,Card,160,19,3
2026-09-20,US,Android,Returning,UPI,76,9,1
2026-09-03,UK,Android,Returning,UPI,164,19,3
2026-09-20,Singapore,Web,Returning,UPI,164,19,3
2026-09-02,UK,Android,Returning,UPI,213,25,4
2026-09-02,India,Android,Returning,UPI,181,21,3
2026-09-06,India,Web,Returning,Card,82,9,1
2026-09-03,US,Android,Returning,UPI,148,17,2
2026-09-19,India,Android,New,Wallet,165,19,3
2026-09-12,UK,iOS,New,Wallet,85,10,1
2026-09-17,UK,iOS,Returning,Wallet,121,14,2
2026-09-08,India,Web,New,UPI,182,21,3
2026-09-13,India,iOS,Returning,Wallet,164,19,3
2026-09-07,UK,Android,Returning,Card,81,9,1
2026-09-05,India,iOS,New,Wallet,163,19,3
2026-09-03,UK,Android,Returning,Wallet,66,7,1
2026-09-18,UK,iOS,New,Wallet,231,27,4
2026-09-21,US,iOS,New,Card,101,12,2
2026-09-05,US,iOS,New,UPI,191,22,3
2026-09-19,UK,iOS,New,Wallet,276,33,5
2026-09-03,India,iOS,Returning,Wallet,234,28,4
2026-09-16,Singapore,iOS,New,Card,298,35,5
2026-09-11,India,iOS,Returning,Wallet,182,21,3
2026-09-12,US,Android,New,Card,160,19,3
2026-09-17,India,Web,New,UPI,92,11,1
2026-09-06,UK,Android,New,UPI,292,35,5
2026-09-17,UK,Web,Returning,Card,212,25,4
2026-09-18,UK,Web,Returning,Wallet,186,22,3
2026-09-03,US,Android,New,Card,218,26,4
2026-09-20,UK,Android,New,Card,70,8,1
2026-09-02,UK,Android,New,Wallet,156,18,3
2026-09-20,India,iOS,Returning,Wallet,294,35,5
2026-09-10,Singapore,Web,Returning,UPI,166,19,3
2026-09-03,India,Web,Returning,UPI,173,20,3
2026-09-15,US,iOS,New,UPI,270,32,5
2026-09-11,UK,iOS,New,UPI,181,21,3
2026-09-18,India,iOS,New,UPI,81,9,1
2026-09-09,Singapore,Web,New,Card,62,7,1
2026-09-10,Singapore,Android,Returning,Card,296,35,5
2026-09-06,UK,Android,Returning,Card,245,29,4
2026-09-06,Singapore,Android,Returning,UPI,275,33,5
2026-09-10,Singapore,Web,New,UPI,179,21,3
2026-09-15,US,Web,Returning,Card,62,7,1
2026-09-10,Singapore,Android,Returning,UPI,187,22,3
2026-09-01,India,iOS,New,UPI,236,28,4
2026-09-12,Singapore,iOS,New,UPI,63,7,1
2026-09-19,US,iOS,Returning,Card,148,17,2
2026-09-17,Singapore,Android,Returning,Wallet,224,26,4
2026-09-20,India,Web,New,UPI,145,17,2
2026-09-11,UK,Web,New,Wallet,180,21,3
2026-09-13,India,Web,New,Card,232,27,4
2026-09-11,Singapore,Android,Returning,Card,205,24,4
2026-09-17,US,iOS,Returning,Card,150,18,3
2026-09-20,UK,Android,Returning,Wallet,262,31,5
2026-09-17,Singapore,Android,Returning,UPI,258,30,5
2026-09-01,UK,iOS,New,UPI,199,23,3
2026-09-10,India,Android,Returning,UPI,297,35,5
2026-09-21,US,Android,New,Wallet,172,20,3
2026-09-06,Singapore,Web,New,Card,196,23,3
2026-09-04,US,Web,Returning,UPI,157,18,3
2026-09-05,Singapore,Android,New,UPI,178,21,3
2026-09-20,Singapore,Android,New,Wallet,85,10,1
2026-09-17,US,Android,Returning,Wallet,172,20,3
2026-09-17,Singapore,iOS,New,UPI,283,33,5
2026-09-18,UK,Android,Returning,Wallet,247,29,4
2026-09-21,UK,Android,Returning,Card,295,35,5
2026-09-08,UK,Android,Returning,Card,291,34,5
2026-09-10,UK,Android,New,Wallet,230,27,4
2026-09-16,UK,iOS,Returning,Wallet,289,34,5
2026-09-09,UK,Web,Returning,UPI,259,31,5
2026-09-12,US,iOS,New,UPI,294,35,5
2026-09-03,UK,iOS,Returning,Wallet,172,20,3
2026-09-07,US,Android,Returning,Wallet,228,27,4
2026-09-09,US,Web,New,Card,62,7,1
2026-09-17,US,Android,New,Card,75,9,1
2026-09-14,UK,Android,Returning,Card,224,26,4
2026-09-05,India,Android,New,UPI,217,26,4
2026-09-16,Singapore,Android,New,UPI,132,6,10
2026-09-10,India,Web,New,Wallet,239,28,4
2026-09-02,US,iOS,New,Card,264,31,5
2026-09-13,Singapore,Web,Returning,Card,52,6,1
2026-09-10,India,iOS,Returning,UPI,214,25,4
2026-09-18,Singapore,Web,Returning,UPI,99,11,1
2026-09-04,UK,Web,Returning,Wallet,115,13,2
2026-09-06,India,Android,Returning,UPI,195,23,3
2026-09-07,US,Android,Returning,UPI,181,21,3
2026-09-11,India,iOS,New,Card,85,10,1
2026-09-16,UK,Web,New,UPI,148,17,2
2026-09-08,Singapore,iOS,Returning,UPI,199,23,3
2026-09-19,India,iOS,Returning,Wallet,110,13,2
2026-09-02,India,iOS,Returning,Card,153,18,3
2026-09-17,UK,Android,New,Wallet,284,34,5
2026-09-10,UK,Android,New,Card,295,35,5
2026-09-05,Singapore,Web,Returning,Wallet,205,24,4
2026-09-12,Singapore,Android,Returning,Wallet,255,30,5
2026-09-07,US,Android,New,Wallet,164,19,3
2026-09-17,UK,Web,New,Card,262,31,5
2026-09-18,US,Android,New,Card,133,15,2
2026-09-17,Singapore,Web,New,Wallet,199,23,3
2026-09-16,India,Android,Returning,Card,166,19,3
2026-09-05,Singapore,iOS,New,Wallet,168,20,3
2026-09-10,India,iOS,Returning,Card,240,28,4
2026-09-07,India,Web,Returning,UPI,229,27,4
2026-09-03,India,Web,Returning,Card,123,14,2
2026-09-14,US,Web,Returning,UPI,278,33,5
2026-09-13,Singapore,iOS,Returning,Card,224,26,4
2026-09-18,US,Android,Returning,Card,95,11,1
2026-09-18,Singapore,Android,New,Wallet,300,36,6
2026-09-08,India,Web,Returning,UPI,222,26,4
2026-09-18,Singapore,Android,Returning,Card,113,13,2
2026-09-15,UK,Web,Returning,Card,289,34,5
2026-09-04,India,Android,Returning,Wallet,246,29,4
2026-09-01,US,Web,New,Card,202,24,4
2026-09-02,Singapore,Android,New,Card,239,28,4
2026-09-02,Singapore,iOS,New,Wallet,105,12,2
2026-09-02,US,Android,Returning,Card,258,30,5
2026-09-19,UK,Android,Returning,Card,127,15,2
2026-09-05,US,iOS,Returning,UPI,65,7,1
2026-09-18,US,Android,Returning,Wallet,176,21,3
2026-09-02,UK,Android,Returning,Wallet,131,15,2
2026-09-14,Singapore,Web,Returning,UPI,97,11,1
2026-09-18,Singapore,Web,New,UPI,269,32,5
2026-09-05,Singapore,Web,Returning,UPI,192,23,3
2026-09-17,US,iOS,New,UPI,102,12,2
2026-09-11,India,iOS,Returning,Card,187,22,3
2026-09-07,India,iOS,Returning,Wallet,204,24,4
2026-09-20,India,Web,New,Wallet,235,28,4
2026-09-18,US,iOS,New,UPI,127,15,2
2026-09-01,US,Web,New,Wallet,243,29,4
2026-09-16,US,Android,New,UPI,284,14,22
2026-09-08,UK,iOS,Returning,UPI,186,22,3
2026-09-21,UK,iOS,Returning,UPI,181,21,3
2026-09-16,Singapore,Web,Returning,UPI,284,34,5
2026-09-07,UK,iOS,Returning,Card,194,23,3
2026-09-08,US,Web,Returning,Wallet,289,34,5
2026-09-19,Singapore,iOS,New,Card,134,16,2
2026-09-08,Singapore,Android,New,UPI,190,22,3
2026-09-21,UK,iOS,Returning,Wallet,214,25,4
2026-09-16,Singapore,Web,Returning,Card,85,10,1
2026-09-18,Singapore,Web,New,Wallet,58,6,1
2026-09-03,India,Web,Returning,Card,265,31,5
2026-09-21,US,Web,New,Card,105,12,2
2026-09-17,Singapore,iOS,New,Wallet,213,25,4
2026-09-20,Singapore,Android,Returning,Card,51,6,1
2026-09-18,Singapore,Web,New,Wallet,234,28,4
2026-09-09,UK,Web,Returning,Card,77,9,1
2026-09-04,US,Web,New,Wallet,184,22,3
2026-09-09,UK,iOS,Returning,Card,145,17,2
2026-09-13,Singapore,Android,New,Wallet,107,12,2
2026-09-10,India,Android,New,Card,153,18,3
2026-09-13,Singapore,Android,Returning,Card,213,25,4
2026-09-01,US,Web,Returning,UPI,215,25,4
2026-09-11,India,Android,New,Card,104,12,2
2026-09-19,Singapore,iOS,New,Card,225,27,4
2026-09-09,India,Web,Returning,Card,296,35,5
2026-09-07,US,Android,Returning,Card,126,15,2
2026-09-06,US,Android,Returning,Wallet,279,33,5
2026-09-18,UK,iOS,New,Wallet,235,28,4
2026-09-03,UK,Web,New,UPI,109,13,2
2026-09-03,UK,Android,Returning,UPI,57,6,1
2026-09-21,UK,iOS,Returning,Card,141,16,2
2026-09-18,Singapore,iOS,New,Wallet,199,23,3
2026-09-13,India,Android,Returning,Card,232,27,4
2026-09-03,India,iOS,New,UPI,232,27,4
2026-09-21,US,Android,Returning,UPI,142,17,2
2026-09-04,India,Web,Returning,UPI,142,17,2
2026-09-09,India,Web,New,Card,160,19,3
2026-09-15,Singapore,Web,New,Card,140,16,2
2026-09-18,India,Android,Returning,UPI,53,6,1
2026-09-10,Singapore,iOS,New,Wallet,280,33,5
2026-09-18,US,Android,New,Wallet,147,17,2
2026-09-06,US,iOS,Returning,UPI,176,21,3
2026-09-05,India,Web,Returning,UPI,157,18,3
2026-09-10,Singapore,Web,Returning,UPI,291,34,5
2026-09-08,Singapore,Android,New,UPI,77,9,1
2026-09-05,UK,Web,Returning,UPI,265,31,5
2026-09-20,Singapore,iOS,Returning,UPI,160,19,3
2026-09-21,US,iOS,Returning,Wallet,292,35,5
2026-09-07,Singapore,iOS,New,UPI,297,35,5
2026-09-11,UK,Android,Returning,Wallet,250,30,5
2026-09-08,UK,iOS,Returning,UPI,143,17,2
2026-09-04,US,Android,New,Wallet,246,29,4
2026-09-18,India,Android,Returning,Wallet,103,12,2
2026-09-15,UK,Android,New,UPI,222,11,17
2026-09-16,US,Android,Returning,Card,114,13,2
2026-09-05,Singapore,iOS,New,UPI,203,24,4
2026-09-16,Singapore,Android,Returning,Wallet,59,7,1
2026-09-12,India,Web,New,Wallet,220,26,4
2026-09-12,US,Android,New,Wallet,215,25,4
2026-09-21,Singapore,iOS,Returning,Card,52,6,1
2026-09-04,UK,Web,New,UPI,145,17,2
2026-09-13,Singapore,Android,New,UPI,56,6,1
2026-09-16,India,iOS,Returning,Card,79,9,1
2026-09-05,UK,iOS,Returning,UPI,250,30,5
2026-09-07,Singapore,iOS,Returning,Card,162,19,3
2026-09-15,UK,Web,Returning,Card,257,30,5
2026-09-04,India,iOS,New,Wallet,254,30,5
2026-09-06,US,Android,New,Wallet,90,10,1
2026-09-11,Singapore,iOS,New,UPI,211,25,4
2026-09-06,US,Android,Returning,UPI,57,6,1
2026-09-20,US,iOS,Returning,UPI,51,6,1
2026-09-07,US,iOS,New,Wallet,76,9,1
2026-09-18,US,iOS,Returning,Card,167,20,3
2026-09-04,UK,Android,Returning,Wallet,297,35,5
2026-09-21,UK,Android,Returning,Wallet,150,18,3
2026-09-19,India,iOS,Returning,UPI,208,24,4
2026-09-06,UK,Android,New,Wallet,84,10,1
2026-09-11,India,Web,Returning,Card,96,11,1
2026-09-12,US,Android,Returning,UPI,202,24,4
2026-09-05,Singapore,iOS,New,UPI,212,25,4
2026-09-18,US,Android,New,UPI,123,6,9
2026-09-05,US,iOS,Returning,Wallet,63,7,1
2026-09-12,India,iOS,New,Card,258,30,5
